aiw	Aari
ain	Ainu (Japan)
aki	Aiome
air	Airoran
aio	Aiton
aja	Aja (Sudan)
ajg	Aja (Benin)
ajw	Ajawa
aji	Ajië
muc	Ajumbu
cpc	Ajyíninka Apurucayali
akq	Ak
soh	Aka
abj	Aka-Bea
akm	Aka-Bo
aci	Aka-Cari
akj	Aka-Jeru
akx	Aka-Kede
aky	Aka-Kol
ack	Aka-Kora
aka	Akan
acl	Akar-Bale
aks	Akaselem
ake	Akawaio
aik	Ake
keu	Akebu
tsr	Akei
aeu	Akeu
ahk	Akha
akv	Akhvakh
akk	Akkadian
sia	Akkala Sami
akl	Aklanon
akt	Akolet
bss	Akoose
miw	Akoye
akf	Akpa
ibe	Akpes
afi	Akrukay
spm	Akukem
ayk	Akuku
aku	Akum
aqz	Akuntsu
ako	Akurio
akw	Akwa
nqy	Akyaung Ari Naga
alw	Alaba-K’abeena
akz	Alabama
dul	Alabat Island Agta
mim	Alacatlatzala Mixtec
ala	Alago
wbj	Alagwa
alk	Alak
amp	Alamblak
alj	Alangan
xln	Alanic
apv	Alapmunte
alh	Alawa
sqi	Albanian
sqk	Albanian Sign Language
xta	Alcozauca Mixtec
alf	Alege
gah	Alekano
ale	Aleut
aao	Algerian Saharan Arabic
arq	Algerian Arabic
asp	Algerian Sign Language
alq	Algonquin
aiy	Ali
ald	Alladian
all	Allar
aid	Alngith
ypo	Alo Phola
zaq	Aloápam Zapotec
aol	Alor
syy	Al-Sayyid Bedouin Sign Language
aes	Alsea
xua	Alu Kurumba
aub	Alugu
aab	Alumu-Tesu
alp	Alune
yna	Aluo
alz	Alur
alr	Alutor
avd	Alviri-Vidari
aly	Alyawarr
amm	Ama (Papua New Guinea)
nyi	Ama (Sudan)
amq	Amahai
amc	Amahuaca
ali	Amaimon
aad	Amal
amn	Amanab
ama	Amanayé
aie	Amara
amr	Amarakaeri
aaz	Amarasi
zpo	Amatlán Zapotec
rwm	Amba (Uganda)
utp	Amba (Solomon Islands)
amk	Ambai
aew	Ambakich
abc	Ambala Ayta
amv	Ambelau
ael	Ambele
alm	Amblong
amb	Ambo
abs	Ambonese Malay
qva	Ambo-Pasco Quechua
aag	Ambrak
apo	Ambul
abt	Ambulas
amj	Amdang
adx	Amdo Tibetan
aey	Amele
ase	American Sign Language
ifa	Amganad Ifugao
amh	Amharic
amy	Ami
ami	Amis
amo	Amo
alx	Amol
mbz	Amoltepec Mixtec
apg	Ampanang
aqd	Ampari Dogon
ajz	Amri Karbi
amt	Amto
adw	Amundava
amg	Amurdak
dti	Ana Tinga Dogon
anw	Anaang
akg	Anakalangu
anm	Anal
pda	Anam
aan	Anambé
imi	Anamgura
bpo	Anasi
acb	Áncá
grc	Ancient Greek (to 1453)
hbo	Ancient Hebrew
xmk	Ancient Macedonian
xna	Ancient North Arabian
xzp	Ancient Zapotec
dgl	Andaandi
afd	Andai
ajn	Andajin
xaa	Andalusian Arabic
hca	Andaman Creole Hindi
ana	Andaqui
aod	Andarum
adg	Andegerebinha
anr	Andh
ani	Andi
bzb	Andio
anb	Andoa
ano	Andoque
anx	Andra-Hus
aty	Aneityum
anz	Anem
aby	Aneme Wake
myo	Anfillo
agm	Angaataha
aqt	Angaité
age	Angal
akh	Angal Heneng
aoe	Angal Enen
njm	Angami Naga
yli	Angguruk Yali
anp	Angika
avm	Angkamuthi
xno	Anglo-Norman
rme	Angloromani
aoa	Angolar
agg	Angor
aog	Angoram
tnd	Angosturas Tunebo
awg	Anguthimri
ypn	Ani Phowa
hnh	//Ani
blo	Anii
anf	Animere
aoi	Anindilyakwa
boj	Anjam
aak	Ankave
amx	Anmatyerre
nun	Anong
anj	Anor
ans	Anserma
and	Ansus
ant	Antakarinya
xmv	Antankarana Malagasy
aig	Antigua and Barbuda Creole English
anu	Anuak
cko	Anufo
anl	Anu-Hkongso Chin
aui	Anuki
auq	Anus
aud	Anuta
any	Anyin
mtb	Anyin Morofo
njo	Ao Naga
pni	Aoheng
aor	Aore
aou	A'ou
kbx	Ap Ma
xap	Apalachee
apy	Apalaí
ena	Apali
mip	Apasco-Apoala Mixtec
apt	Apatani
api	Apiaká
apn	Apinayé
app	Apma
ahp	Aproumu Aizi
apq	A-Pucikwar
apu	Apurinã
apx	Aputai
xaq	Aquitanian
ard	Arabana
arl	Arabela
ara	Arabic
arg	Aragonese
akr	Araki
rkw	Arakwal
atq	Aralle-Tabulahan
stk	Arammba
aaf	Aranadan
xrt	Aranama-Tamique
jbj	Arandai
aro	Araona
arp	Arapaho
arj	Arapaso
xaj	Ararandewára
arw	Arawak
awt	Araweté
awm	Arawum
aae	Arbëreshë Albanian
arv	Arbore
aqc	Archi
pka	Ardhamāgadhī Prākrit
mwc	Are
alu	'Are'are
aea	Areba
aem	Arem
qxu	Arequipa-La Unión Quechua
aed	Argentine Sign Language
agj	Argobba
agf	Arguni
aqr	Arhâ
aok	Arhö
arh	Arhuaco
aac	Ari
laz	Aribwatsa
ylu	Aribwaung
aai	Arifama-Miniafia
aqg	Arigidi
ark	Arikapú
ari	Arikara
ait	Arikem
xrn	Arin
luc	Aringa
aoh	Arma
xrm	Armazic
aen	Armenian Sign Language
hye	Armenian
apr	Arop-Lokep
aps	Arop-Sissano
aia	Arosi
frp	Arpitan
rrt	Arritinngithigh
atz	Arta
aru	Aruá (Amazonas State)
arx	Aruá (Rodonia State)
msy	Aruamu
aur	Aruek
lsr	Aruop
atx	Arutani
aat	Arvanitika Albanian
asz	As
mtv	Asaro'o
asd	Asas
cni	Asháninka
ahs	Ashe
cjo	Ashéninka Pajonal
prq	Ashéninka Perené
ask	Ashkun
csh	Asho Chin
atn	Ashtiani
asl	Asilulu
eiv	Askopan
asv	Asoa
asm	Assamese
xss	Assan
sjg	Assangori
asb	Assiniboine
aii	Assyrian Neo-Aramaic
ast	Asturian
asa	Asu (Tanzania)
aum	Asu (Nigeria)
psa	Asue Awyu
aua	Asumboa
zoo	Asunción Mixtepec Zapotec
asr	Asuri
atd	Ata Manobo
atm	Ata
aqp	Atakapa
amz	Atampaya
mib	Atatláhuca Mixtec
tay	Atayal
ate	Atemble
aph	Athpariya
atk	Ati
atj	Atikamekw
aqm	Atohwaim
aot	Atong (India)
ato	Atong (Cameroon)
aox	Atorada
atc	Atsahuaca
cch	Atsam
atw	Atsugewi
pkr	Attapady Kurumba
ati	Attié
ocu	Atzingo Matlatzinca
avt	Au
kud	'Auhelawa
aul	Aulua
aux	Aurá
auh	Aushi
avs	Aushiri
aut	Austral
asf	Australian Sign Language
asw	Australian Aborigines Sign Language
asq	Austrian Sign Language
smf	Auwe
auu	Auye
auo	Auyokawa
avv	Avá-Canoeiro
ava	Avaric
avn	Avatime
avb	Avau
ave	Avestan
avi	Avikam
avu	Avokaya
awb	Awa (Papua New Guinea)
vwa	Awa (China)
awk	Awabakal
kwi	Awa-Cuaiquer
bcu	Awad Bing
awa	Awadhi
awo	Awak
aya	Awar
awx	Awara
awh	Awbono
bob	Aweer
awr	Awera
awe	Awetí
azo	Awing
auy	Awiyaana
auj	Awjilah
awn	Awngi
gwm	Awngthim
kmn	Awtuw
yiu	Awu
aww	Awun
afu	Awutu
auw	Awyi
ahb	Axamb
yix	Axi Yi
ayd	Ayabadhu
quy	Ayacucho Quechua
vmy	Ayautla Mazatec
aye	Ayere
axe	Ayerrerenge
ayq	Ayi (Papua New Guinea)
nfl	Ayiwo
yyz	Ayizi
ayb	Ayizo Gbe
aym	Aymara
zaf	Ayoquesco Zapotec
ayo	Ayoreo
ayu	Ayu
miy	Ayutla Mixtec
aze	Azerbaijani
aza	Azha
yiz	Azhe
tpc	Azoyú Me'phaa
bvj	Baan
bqx	Baangi
bba	Baatonum
bbw	Baba
mbf	Baba Malay
bbz	Babalia Creole Arabic
bbm	Babango
bbk	Babanki
baa	Babatana
bcr	Babine
bzg	Babuza
bcy	Bacama
btj	Bacanese Malay
xbc	Bactrian
bau	Bada (Nigeria)
bhz	Bada (Indonesia)
bfq	Badaga
bde	Bade
bdz	Badeshi
khd	Bädi Kanum
bia	Badimaya
jbi	Badjiri
bac	Badui
pbp	Badyara
bvd	Baeggu
bvc	Baelelea
btr	Baetora
bfj	Bafanji
bwt	Bafaw-Balong
ksf	Bafia
bfd	Bafut
bcg	Baga Pokur
bgo	Baga Koga
bmd	Baga Manduri
bqf	Baga Kaloum
bsp	Baga Sitemu
bsv	Baga Sobané
bfy	Bagheli
bmi	Bagirmi
fui	Bagirmi Fulfulde
bqg	Bago-Kusuntu
bgq	Bagri
bpi	Bagupi
bqb	Bagusa
kva	Bagvalal
yha	Baha Buyang
bdw	Baham
bah	Bahamas Creole English
abv	Baharna Arabic
bhv	Bahau
bjh	Bahinemo
bhj	Bahing
bdq	Bahnar
bsu	Bahonsuai
bdj	Bai
bbf	Baibai
bkx	Baikeno
bqh	Baima
bmx	Baimak
bcz	Bainouk-Gunyaamolo
bab	Bainouk-Gunyuño
bcb	Bainouk-Samik
bsw	Baiso
fah	Baissa Fali
bjs	Bajan
bjm	Bajelani
bdh	Baka (Sudan)
bkc	Baka (Cameroon)
bkq	Bakairí
bqz	Bakaka
bqi	Bakhtiari
bki	Baki
bkh	Bakoko
kme	Bakole
bbs	Bakpinka
bkr	Bakumpai
bjw	Bakwé
bls	Balaesang
blw	Balangao
sse	Balangingi
bjt	Balanta-Ganja
blz	Balantak
ble	Balanta-Kentohe
blg	Balau
bdn	Baldemu
bcn	Bali (Nigeria)
bcp	Bali (Democratic Republic of Congo)
ban	Balinese
mhp	Balinese Malay
bgx	Balkan Gagauz Turkish
rmn	Balkan Romani
bqo	Balo
biz	Baloi
bft	Balti
rml	Baltic Romani
blq	Baluan-Pam
bal	Baluchi
bog	Bamako Sign Language
bbq	Bamali
bmo	Bambalang
ptu	Bambam
bam	Bambara
myf	Bambassi
baw	Bambili-Bambui
bce	Bamenyam
bcf	Bamu
bqt	Bamukumbit
bax	Bamun
bvm	Bamunka
bmg	Bamwe
bfk	Ban Khor Sign Language
bcw	Bana
bjx	Banao Itneg
byz	Banaro
bnd	Banda (Indonesia)
bpq	Banda Malay
liy	Banda-Bambari
bpd	Banda-Banda
bqk	Banda-Mbrès
bfl	Banda-Ndélé
yaj	Banda-Yangere
bza	Bandi
bqj	Bandial
bdy	Bandjalang
bxg	Bangala
bgf	Bangandu
bbe	Bangba
bgz	Banggai
bjb	Banggarla
bni	Bangi
dba	Bangime
mfb	Bangka
bgj	Bangolan
bnx	Bangubangu
bsj	Bangwinji
bvv	Baniva
bwi	Baniwa
bjn	Banjar
bxw	Bankagooma
jjr	Bankal
dbw	Bankan Tey Dogon
abb	Bankon
bcm	Bannoni
bap	Bantawa
bfx	Bantayanon
bnq	Bantik
bno	Bantoanon
bci	Baoulé
bhr	Bara Malagasy
brd	Baraamu
rbp	Barababaraba
bbb	Barai
baj	Barakai
kys	Baram Kayan
bbg	Barama
brm	Barambu
bmz	Baramu
brp	Barapasi
brs	Baras
bsn	Barasana-Eduria
bpb	Barbacoas
vmb	Barbaram
boi	Barbareño
gry	Barclayville Grebo
bcj	Bardi
bae	Baré
bva	Barein
mlp	Bargam
bfa	Bari
mot	Barí
bch	Bariai
bjc	Bariji
bxo	Barikanchi
jbk	Barikewa
bjk	Barok
bbi	Barombi
tbn	Barro Negro Tunebo
bpt	Barrow Point
bjz	Baruga
byr	Baruya
bwg	Barwe
bjf	Barzani Jewish Neo-Aramaic
bas	Basa (Cameroon)
bzw	Basa (Nigeria)
bsl	Basa-Gumna
buj	Basa-Gurmana
bdb	Basap
byq	Basay
bsg	Bashkardi
bak	Bashkir
bst	Basketo
eus	Basque
bsq	Bassa
bsr	Bassa-Kontagora
bsc	Bassari
bsi	Bassossi
bta	Bata
ifb	Batad Ifugao
akb	Batak Angkola
bbc	Batak Toba
btd	Batak Dairi
btm	Batak Mandailing
bts	Batak Simalungun
btx	Batak Karo
btz	Batak Alas-Kluet
bya	Batak
bnm	Batanga
btq	Batek
btv	Bateri
bhm	Bathari
btc	Bati (Cameroon)
bvt	Bati (Indonesia)
bbl	Bats
btu	Batu
zbt	Batui
bay	Batuley
xby	Batyala
bbd	Bau
sne	Bau Bidayuh
bsf	Bauchi
brg	Baure
bge	Bauria
bwk	Bauwaki
bvz	Bauzi
bar	Bavarian
bgr	Bawm Chin
mkq	Bay Miwok
bjy	Bayali
bvy	Baybayanon
byg	Baygo
byl	Bayono
bda	Bayot
bxj	Bayungu
bfr	Bazigar
beo	Beami
bea	Beaver
bfp	Beba
beb	Bebele
bek	Bebeli
bxp	Bebil
bjv	Bedjond
bed	Bedoanas
bkf	Beeke
bxq	Beele
beq	Beembe
bnz	Beezen
bby	Befang
bej	Beja
bei	Bekati'
bkv	Bekwarra
bkw	Bekwel
beg	Belait
bvi	Belanda Viri
bxb	Belanda Bor
bel	Belarusian
byw	Belhariya
bey	Beli (Papua New Guinea)
blm	Beli (Sudan)
bzj	Belize Kriol English
blc	Bella Coola
brw	Bellari
bem	Bemba (Zambia)
bmb	Bembe
dbt	Ben Tey Dogon
bez	Bena (Tanzania)
yun	Bena (Nigeria)
bef	Benabena
bcq	Bench
bdp	Bende
bct	Bendi
nhb	Beng
bng	Benga
ben	Bengali
bgy	Benggoi
bqy	Bengkala Sign Language
bnu	Bentong
byd	Benyadu'
bue	Beothuk
bie	Bepour
brf	Bera
bxv	Berakou
bve	Berau Malay
brc	Berbice Creole Dutch
bkl	Berik
bit	Berinomo
bom	Berom
wti	Berta
byt	Berti
mhe	Besisi
bes	Besme
bep	Besoa
bfe	Betaf
bew	Betawi
byf	Bete
btt	Bete-Bendi
eot	Beti (Côte d'Ivoire)
xub	Betta Kurumba
kap	Bezhta
bhd	Bhadrawahi
bhx	Bhalay
bha	Bharia
bgw	Bhatri
bht	Bhattiyali
bhe	Bhaya
bhy	Bhele
bhi	Bhilali
bhb	Bhili
bho	Bhojpuri
nes	Bhoti Kinnauri
byh	Bhujel
bhu	Bhunjia
bif	Biafada
bdf	Biage
bhw	Biak
beh	Biali
bpv	Bian Marind
big	Biangai
bmt	Biao Mon
byk	Biao
bje	Biao-Jiao Mien
bth	Biatah Bidayuh
xbp	Bibbulman
ihw	Bidhawal
bid	Bidiyo
bym	Bidyara
bjg	Bidyogo
bmc	Biem
bnk	Bierebo
brj	Bieria
biu	Biete
nmb	Big Nambas
bhc	Biga
xbe	Bigambal
ibh	Bih
bix	Bijori
bic	Bikaru
bik	Bikol
byb	Bikya
bip	Bila
bql	Bilakura
kfs	Bilaspuri
bpz	Bilba
brz	Bilbil
bil	Bile
byn	Bilin
bms	Bilma Kanuri
bll	Biloxi
blb	Bilua
bxf	Bilur
bhp	Bima
bhl	Bimin
bim	Bimoba
bmn	Bina (Papua New Guinea)
byj	Bina (Nigeria)
bxz	Binahari
bhg	Binandere
xbd	Bindal
bon	Bine
bin	Bini
bpj	Binji
itb	Binongan Itneg
bne	Bintauna
bny	Bintulu
bkd	Binukid
bjr	Binumarien
biq	Bipi
bxe	Birale
brr	Birao
btf	Birgit
biy	Birhor
bzr	Biri
bqq	Biritai
brk	Birked
bvq	Birri
xbj	Birrpayi
brl	Birwa
ije	Biseni
bpy	Bishnupriya
bwh	Bishuo
bnw	Bisis
bis	Bislama
bir	Bisorio
bib	Bissa
bzi	Bisu
bgk	Bit
brt	Bitare
mcc	Bitur
bwm	Biwat
byo	Biyo
bpm	Biyom
blp	Blablanga
bfh	Blafe
beu	Blagar
blr	Blang
zbl	Blissymbols
bgl	Bo (Laos)
bpw	Bo (Papua New Guinea)
bzl	Boano (Sulawesi)
bzn	Boano (Maluku)
bgb	Bobongko
bty	Bobot
bdv	Bodo Parja
boy	Bodo (Central African Republic)
brx	Bodo (India)
gbj	Bodo Gadaba
bff	Bofi
bvw	Boga
boq	Bogaya
bux	Boghom
bqu	Boguru
bhn	Bohtan Neo-Aramaic
bzf	Boikin
ybk	Bokha
bkp	Boko (Democratic Republic of Congo)
bqc	Boko (Benin)
bus	Bokobaru
bdt	Bokoto
bky	Bokyi
bnp	Bola
bld	Bolango
bol	Bole
xbo	Bolgarian
bvo	Bolgo
bli	Bolia
smk	Bolinao
bvl	Bolivian Sign Language
bkt	Boloki
bof	Bolon
bzm	Bolondo
blj	Bolongan
ply	Bolyu
boh	Boma
bml	Bomboli
bws	Bomboma
zmx	Bomitaba
bmf	Bom-Kim
bmq	Bomu
bmw	Bomwali
glc	Bon Gula
peh	Bonan
bou	Bondei
bfw	Bondo
kzc	Bondoukou Kulango
dbu	Bondum Dom Dogon
bna	Bonerate
bnv	Bonerif
bdg	Bonggi
bpg	Bonggo
bui	Bongili
bot	Bongo
bpu	Bongu
bok	Bonjo
bvg	Bonkeng
bop	Bonkiman
bnc	Bontok
bnb	Bookan
bnl	Boon
bvf	Boor
boa	Bora
gax	Borana-Arsi-Guji Oromo
kvn	Border Kuna
gai	Borei
fue	Borgu Fulfulde
bwo	Boro (Ethiopia)
xxb	Boro (Ghana)
ksr	Borong
bor	Borôro
brn	Boruca
mae	Bo-Rukul
bwf	Boselewa
bqs	Bosngun
bos	Bosnian
bmj	Bote-Majhi
bph	Botlikh
sbl	Botolan Sambal
nku	Bouna Kulango
mux	Bo-Ung
pcc	Bouyei
bzo	Bozaba
aof	Bragat
brh	Brahui
bra	Braj
bzs	Brazilian Sign Language
buq	Brem
brq	Breri
bre	Breton
bzd	Bribri
bzt	Brithenig
bfi	British Sign Language
bro	Brokkat
sgt	Brokpake
bkk	Brokskat
plw	Brooke's Point Palawano
bpl	Broome Pearling Lugger Pidgin
bsb	Brunei Bisaya
kxd	Brunei
jid	Bu
bub	Bua
cbl	Bualkhaw Chin
box	Buamu
bvb	Bube
buw	Bubi
bbx	Bubia
stt	Budeh Stieng
btp	Budibud
bdx	Budong-Budong
buu	Budu
bdk	Budukh
bdm	Buduma
bja	Budza
bbh	Bugan
buk	Bugawac
bgt	Bughotu
bug	Buginese
sab	Buglere
bgg	Bugun
bku	Buhid
ubl	Buhi'non Bikol
bxh	Buhutu
sdo	Bukar-Sadung Bidayuh
bvk	Bukat
bhh	Bukharic
bvu	Bukit Malay
bkn	Bukitan
ape	Bukiyip
tkb	Buksa
bxk	Bukusu
buz	Bukwen
bqn	Bulgarian Sign Language
bul	Bulgarian
bmp	Bulgebi
bwu	Buli (Ghana)
bzq	Buli (Indonesia)
buy	Bullom So
sti	Bulo Stieng
bjl	Bulu (Papua New Guinea)
bum	Bulu (Cameroon)
bmv	Bum
byp	Bumaji
bvp	Bumang
aon	Bumbita Arapesh
kjz	Bumthangkha
buv	Bun
bvn	Buna
bck	Bunaba
bfn	Bunak
bdd	Bunama
bwx	Bu-Nao Bunu
bns	Bundeli
bqd	Bung
but	Bungain
xbg	Bunganditj
bkz	Bungku
wun	Bungu
dgb	Bunoge Dogon
bnn	Bunun
blf	Buol
bys	Burak
bkg	Buraka
bwr	Bura-Pabir
bvr	Burarra
bti	Burate
bxn	Burduna
bvh	Bure
bua	Buriat
bji	Burji
vrt	Burmbar
mya	Burmese
bzu	Burmeso
bqw	Buru (Nigeria)
mhs	Buru (Indonesia)
bry	Burui
aip	Burumakok
bdi	Burun
bds	Burunge
bsk	Burushaski
bqr	Burusu
asi	Buruwai
bqp	Busa
bxs	Busam
bsm	Busami
bfg	Busang Kayan
buc	Bushi
buf	Bushoong
bso	Buso
bup	Busoa
dox	Bussa
bju	Busuu
kyb	Butbut Kalinga
bnr	Butmas-Tur
btw	Butuanon
bhs	Buwal
byi	Buyu
jiy	Buyuan Jinuo
bww	Bwa
bwd	Bwaidoka
tte	Bwanabwana
bwa	Bwatoo
bwe	Bwe Karen
bwl	Bwela
bwc	Bwile
bwz	Bwisi
bee	Byangsi
mkk	Byep
msq	Caac
cjp	Cabécar
cbb	Cabiyarí
miu	Cacaloxtepec Mixtec
ccr	Cacaopera
roc	Cacgia Roglai
cbv	Cacua
cad	Caddo
ccd	Cafundo Creole
cah	Cahuarano
chl	Cahuilla
nat	Ca̱hungwa̱rya̱
qvc	Cajamarca Quechua
qvl	Cajatambo North Lima Quechua
zad	Cajonos Zapotec
frc	Cajun French
ckx	Caka
ckz	Cakchiquel-Quiché Mixed Language
cky	Cakfem-Mushere
tbk	Calamian Tagbanwa
qud	Calderón Highland Quichua
caw	Callawalla
rmq	Caló
clu	Caluyanun
mcu	Cameroon Mambila
wes	Cameroon Pidgin
rab	Camling
cml	Campalagian
sro	Campidanese Sardinian
kbh	Camsá
cmt	Camtho
xcc	Camunic
qxr	Cañar Highland Quichua
cbu	Candoshi-Shapra
ram	Canela
caz	Canichana
cov	Cao Miao
mlc	Cao Lan
kaq	Capanahua
cps	Capiznon
cpg	Cappadocian Greek
cot	Caquinte
caq	Car Nicobarese
cfd	Cara
cby	Carabayo
crf	Caramanta
cbc	Carapana
xcr	Carian
hns	Caribbean Hindustani
jvn	Caribbean Javanese
cbd	Carijona
crr	Carolina Algonquian
cal	Carolinian
rmc	Carpathian Romani
crx	Carrier
cbr	Cashibo-Cacataibo
cbs	Cashinahua
dgc	Casiguran Dumagat Agta
asc	Casuarina Coast Asmat
cat	Catalan
csc	Catalan Sign Language
chc	Catawba
cca	Cauca
cav	Cavineña
cyb	Cayubaba
cay	Cayuga
xcy	Cayuse
sef	Cebaara Senoufo
ceb	Cebuano
xce	Celtiberian
cam	Cemuhî
cen	Cen
agt	Central Cagayan Agta
awu	Central Awyu
ayr	Central Aymara
bca	Central Bai
bcl	Central Bikol
ckb	Central Kurdish
cmo	Central Mnong
cns	Central Asmat
csm	Central Sierra Miwok
ess	Central Siberian Yupik
esu	Central Yupik
grv	Central Grebo
hmc	Central Huishui Hmong
hmm	Central Mashan Hmong
khm	Central Khmer
knc	Central Kanuri
lbk	Central Bontok
maz	Central Mazahua
mel	Central Melanau
mwo	Central Maewo
mxz	Central Masela
ncb	Central Nicobarese
nch	Central Huasteca Nahuatl
ncx	Central Puebla Nahuatl
nhn	Central Nahuatl
ojc	Central Ojibwa
pbs	Central Pame
plc	Central Palawano
poo	Central Pomo
pse	Central Malay
pst	Central Pashto
ryu	Central Okinawan
sml	Central Sama
syb	Central Subanen
tar	Central Tarahumara
tgt	Central Tagbanwa
tuf	Central Tunebo
tzm	Central Atlas Tamazight
zbc	Central Berawan
zch	Central Hongshuihe Zhuang
fuq	Central-Eastern Niger Fulfulde
cet	Centúúm
cme	Cerma
sbf	Chabu
quk	Chachapoyas Quechua
cbi	Chachi
cao	Chácobo
cds	Chadian Sign Language
shu	Chadian Arabic
cdy	Chadong
chg	Chagatai
ciy	Chaima
ckh	Chak
cli	Chakali
ccp	Chakma
cll	Chala
cld	Chaldean Neo-Aramaic
tgf	Chalikha
ceg	Chamacoco
cji	Chamalal
cdg	Chamari
cdh	Chambeali
can	Chambri
ccc	Chamicuro
cha	Chamorro
caj	Chané
nbc	Chang Naga
cga	Changriwa
cna	Changthang
chx	Chantyal
cra	Chara
cdn	Chaudangsi
crv	Chaura
cbk	Chavacano
cbt	Chayahuita
mih	Chayuco Mixtec
xtb	Chazumba Mixtec
ruk	Che
che	Chechen
mrn	Cheke Holo
xch	Chemakum
cjn	Chenapian
cde	Chenchu
cnu	Chenoua
cdm	Chepang
ycp	Chepya
cpn	Cherepon
chr	Cherokee
ych	Chesu
ctc	Chetco
cwg	Chewong
chy	Cheyenne
hne	Chhattisgarhi
ctn	Chhintange
cur	Chhulung
csd	Chiangmai Sign Language
cip	Chiapanec
chb	Chibcha
trs	Chicahuaxtla Triqui
zpv	Chichicapan Zapotec
pei	Chichimeca-Jonaz
cic	Chickasaw
cob	Chicomuceltec
cgg	Chiga
mii	Chigmecatitlán Mixtec
clc	Chilcotin
csg	Chilean Sign Language
clh	Chilisso
csa	Chiltepec Chinantec
zoh	Chimalapa Zoque
cid	Chimariko
qug	Chimborazo Highland Quichua
cbg	Chimila
bxu	China Buriat
cih	Chinali
cnb	Chinbon Chin
qxc	Chincha Quechua
cpi	Chinese Pidgin English
csl	Chinese Sign Language
zho	Chinese
chh	Chinook
chn	Chinook jargon
cap	Chipaya
chp	Chipewyan
ciw	Chippewa
qxa	Chiquián Ancash Quechua
maq	Chiquihuitlán Mazatec
cax	Chiquitano
nhd	Chiripá
cdf	Chiru
ctm	Chitimacha
cik	Chitkuli Kinnauri
ctg	Chittagonian
the	Chitwania Tharu
zpc	Choapan Zapotec
cgk	Chocangacakha
coz	Chochotec
cho	Choctaw
cdi	Chodri
nri	Chokri Naga
cjk	Chokwe
ctu	Chol
cht	Cholón
cog	Chong
cda	Choni
coh	Chonyi-Dzihana-Kauma
cce	Chopi
xco	Chorasmian
caa	Chortí
nct	Chothe Naga
crw	Chrau
cje	Chru
cqd	Chuanqiandian Cluster Miao
cjv	Chuave
cvg	Chug
cac	Chuj
cuh	Chuka
ckt	Chukot
cuw	Chukwa
clw	Chulym
ncu	Chumburung
cug	Chungmboko
cdj	Churahi
chu	Church Slavic
scb	Chut
chk	Chuukese
xcv	Chuvantsy
chv	Chuvash
chw	Chuwabu
cib	Ci Gbe
cia	Cia-Cia
ckl	Cibak
awc	Cicipu
cim	Cimbrian
cdr	Cinda-Regi-Tiyal
cie	Cineni
cin	Cinta Larga
xcg	Cisalpine Gaulish
asg	Cishingini
txt	Citak
tgd	Ciwogai
clm	Clallam
cmg	Classical Mongolian
myz	Classical Mandaic
nci	Classical Nahuatl
nwc	Classical Newari
qwc	Classical Quechua
syc	Classical Syriac
xcl	Classical Armenian
xct	Classical Tibetan
dri	C'Lela
xcw	Coahuilteco
csi	Coast Miwok
kjc	Coastal Konjo
zca	Coatecas Altas Zapotec
naz	Coatepec Nahuatl
mco	Coatlán Mixe
zps	Coatlán Zapotec
miz	Coatzospan Mixtec
cod	Cocama-Cocamilla
coj	Cochimi
coc	Cocopa
coa	Cocos Islands Malay
crd	Coeur d'Alene
con	Cofán
kog	Cogui
